embedding_x,embedding_y
6.9296885,18.81739
7.3997264,18.527983
0.25471628,14.930405
7.3888516,5.20145
8.915332,-9.379095
0.9530422,10.581905
0.16690087,14.270946
1.0033926,10.53582
-5.6830626,14.562386
20.545118,5.9669766
12.802287,-6.633074
14.063444,3.7812521
-5.7174325,14.520686
16.232597,-2.480257
0.12654643,13.360186
-5.7334394,14.500933
7.7197247,-12.817454
8.523873,4.7288747
-6.1246176,-2.5012696
-5.343271,15.006894
-0.986247,19.577808
15.882576,17.344986
6.9672766,18.803217
20.606598,6.2173324
-1.1889741,19.235886
8.927893,-9.344548
1.1450876,10.304008
8.156269,7.2932158
1.1972507,10.288328
15.836528,-5.19031
0.41530046,12.314874
23.467726,6.504999
12.653717,-6.9862123
11.91371,-7.2030163
14.073797,3.9002697
4.8802514,17.599941
-5.711677,14.524385
18.19556,17.251534
-1.3086139,19.064054
19.663488,-3.6160243
-0.8469495,19.858265
16.61304,-0.47043163
0.94068336,10.623253
12.906555,-5.3297033
16.090147,-2.5277927
10.387699,9.12726
19.381733,-3.302427
-5.371257,14.9777565
16.655115,-0.4980775
18.552252,17.280401
8.999999,-9.954813
11.646686,6.440277
16.647976,16.04795
1.1792834,10.341562
23.964838,7.3909526
-2.3364527,-10.045127
8.448386,5.138378
7.7194815,17.388046
-0.85167897,19.896227
14.093143,3.6509292
0.0023114937,-10.477827
23.580452,7.376149
9.318731,17.23911
12.888908,-8.314464
15.76224,-5.2662377
17.25742,-2.3382897
-5.7378774,14.495758
18.23134,18.693888
-5.371714,14.976819
14.522377,12.712839
-0.29619542,14.227625
7.0022826,18.69681
0.7397896,0.72083557
7.8751006,-12.630862
-6.1250315,-2.5015721
16.006165,17.169003
-0.40595022,14.373549
-0.80413824,19.9091
0.45993784,12.380693
15.979026,-1.9724635
0.9959088,-0.12763038
0.9624353,10.572915
12.869768,-8.5302105
19.678547,-3.7222834
11.58858,-2.8246226
9.153784,17.866571
8.222178,5.5878596
12.846076,-5.5387063
-5.3206573,15.031131
6.919652,18.822565
17.12976,18.008617
15.967366,-1.1328694
0.45288065,12.41055
11.791994,3.3716872
7.2941527,18.35921
8.640543,-10.696385
-1.1803176,19.347515
7.1473594,16.179596
7.239183,-12.50791
8.90429,17.810593
0.40424943,12.386253
-0.53777456,-3.6815102
5.900326,-12.784557
0.37006235,12.15537
9.284758,18.068604
17.232466,14.510061
20.686577,6.232135
0.94504476,10.598139
8.963041,-9.497302
-2.5625267,-8.657166
4.7371974,17.319569
11.851521,-6.2360353
7.907955,5.186162
6.116672,-12.789029
0.17663723,11.429956
-1.3180584,19.067137
-0.27026647,14.065686
14.733756,3.1570673
-0.81705415,19.888828
0.2731241,14.957125
0.14881842,14.436631
7.487235,18.209723
14.845035,-1.6780086
4.7272863,17.317108
18.183521,15.367007
0.17403886,14.324407
0.91842645,10.654758
-2.29342,-9.834983
18.38255,16.809013
18.435621,16.111708
-0.40914825,-3.2630513
0.9932922,10.5003805
8.179388,7.265194
17.329601,16.99146
17.26523,17.315807
12.464805,-6.5408306
-1.3940084,18.981087
12.2702875,-7.316579
1.222918,-10.729769
20.705683,6.28605
12.494454,-6.8718643
19.184135,-6.7366376
-0.019734921,12.851149
0.15420794,13.289028
17.45645,15.527677
-5.362461,14.988067
18.981522,17.340437
19.170732,16.974758
17.188156,16.225784
23.855778,7.315678
12.212469,5.3147016
17.286684,17.249146
15.998293,-1.2726134
8.992761,-9.844188
18.447987,16.181372
12.594312,-7.127293
19.568422,-3.7373629
18.430798,16.167873
-1.2153437,-4.447284
-1.811725,-5.044902
12.400508,-6.583979
18.609728,17.297886
-0.025701437,12.83065
4.8832808,17.518831
-1.2433211,19.141054
12.65162,-5.8871684
23.382347,7.279456
0.56541795,-2.7863226
0.41310745,-1.4467711
0.06042931,11.853744
-5.44082,14.903309
14.899913,-1.7687838
-1.1803333,19.220526
11.436135,6.3550587
23.61223,7.761211
4.858771,17.565544
8.852778,18.545975
9.451356,5.1507716
12.032748,-7.1332135
17.377697,15.352753
-1.1409484,19.276793
16.29392,16.874622
-0.80100703,19.911865
18.2098,17.29132
7.196807,18.738832
-0.0057220086,12.893262
9.709662,4.7463336
18.261766,17.117653
-5.7297688,14.504036
9.267954,4.9234843
20.709198,6.2611833
0.24910012,14.099545
10.642396,7.0571814
-0.09272779,-3.6910584
-5.38059,14.969036
10.772614,8.810118
6.176761,-12.769972
9.127472,-10.689468
-0.30861333,14.371306
9.169437,-10.699202
18.90515,16.360449
-0.06797723,-3.7090688
13.758414,-6.294611
9.369776,18.481056
11.85015,-9.204481
-0.41868111,14.081795
12.857419,-9.544353
17.413021,18.385986
16.652151,13.32402
11.072072,5.1477385
20.668335,6.2798223
21.810587,7.3243504
15.925847,17.288437
1.1650077,10.374038
7.3642316,5.2056727
11.832347,-9.2146015
9.202681,17.065989
-0.18467246,13.604694
11.504431,4.9167666
8.939716,-7.8799186
7.4361973,17.789942
0.46443594,12.514174
8.913163,18.597797
8.373424,6.8233886
17.17344,-1.0185508
8.673393,-7.9430423
5.417001,-13.289932
11.859526,6.0916133
-7.486127,0.5082453
14.33431,4.839628
6.8585224,16.111597
0.26954243,-2.2484944
0.5013451,-2.9765632
12.6168785,-6.19426
7.6986866,-12.71163
-5.359957,14.990682
18.345766,16.61302
-0.4155216,14.378957
